t	Images	Images_c
0.5	0.000	0.000
1	0.000	0.000
1.5	0.000	0.000
2	0.000	0.000
2.5	0.000	1.732
3	0.000	65.801
3.5	0.000	129.870
4	0.000	116.017
4.5	0.000	45.022
5	0.000	22.511
5.5	0.000	6.926
6	0.000	1.732
6.5	0.000	3.463
7	0.000	0.000
7.5	0.000	0.000
8	0.000	0.000
8.5	0.000	0.000
9	0.000	0.000
9.5	0.000	0.000
10	0.000	0.000
10.5	0.000	0.000
11	0.000	0.000
11.5	0.000	0.000
12	0.000	0.000
12.5	0.000	0.000
13	0.000	0.000
13.5	0.000	0.000
14	0.000	0.000
14.5	0.000	0.000
15	0.000	0.000
15.5	0.000	0.000
16	0.000	0.000
16.5	1.961	0.000
17	11.765	0.000
17.5	27.451	0.000
18	49.020	0.000
18.5	45.098	0.000
19	52.941	0.000
19.5	52.941	0.000
20	37.255	0.000
20.5	27.451	0.000
21	11.765	0.000
21.5	5.882	0.000
22	1.961	0.000
22.5	0.000	0.000
23	1.961	0.000
23.5	0.000	0.000
24	1.961	0.000
24.5	0.000	0.000
25	0.000	0.000
