t	Text	Text_c
0.25	0.000	0.000
0.5	0.000	0.000
0.75	0.000	0.000
1	0.000	0.000
1.25	0.000	0.000
1.5	0.000	0.000
1.75	0.000	0.000
2	0.000	12.968
2.25	0.000	29.925
2.5	0.000	48.878
2.75	0.000	50.873
3	0.000	55.860
3.25	0.000	31.920
3.5	0.000	34.913
3.75	0.000	34.913
4	0.000	20.948
4.25	0.000	11.970
4.5	0.000	8.978
4.75	0.000	14.963
5	11.679	5.985
5.25	48.662	11.970
5.5	28.224	5.985
5.75	30.170	2.993
6	37.956	0.000
6.25	48.662	1.995
6.5	52.555	0.000
6.75	39.903	0.000
7	26.277	0.000
7.25	20.438	0.000
7.5	5.839	0.000
7.75	5.839	0.000
8	8.759	0.000
8.25	5.839	0.000
8.5	4.866	0.000
8.75	2.920	0.000
9	0.973	0.000
9.25	1.946	0.000
9.5	0.000	0.000
9.75	0.000	0.000
10	0.000	0.000
