QF	n_Sc3	n_Sc4	n_Haar	e_Sc3	a	e_Sc4	a	e_Haar	a1	d_Sc3	a2	d_Sc4	a3	d_Haar	a4	Sc3	Sc4	Haar
80	5523	4142	44186	638	22.79	908	46.08	417	5.00	107	4.71	120	6.27	45	0.92	178.4	153.7	21.3
81	5523	4142	44187	651	51.28	955	73.46	437	21.97	107	11.14	121	9.47	47	4.54	181.0	159.7	21.7
82	5523	4142	44188	683	44.52	925	61.10	439	24.97	113	10.03	117	9.99	47	5.03	183.4	166.0	22.0
83	5523	4142	44189	641	36.67	913	30.18	449	45.64	105	7.01	115	1.12	48	8.02	185.3	172.5	22.3
84	5523	4142	44190	640	40.72	910	24.20	445	48.71	105	6.58	115	0.42	47	7.18	186.8	179.3	22.6
85	5523	4142	44191	682	67.76	909	18.66	477	85.92	113	14.37	115	0.58	51	13.09	188.0	186.2	22.8
86	5523	4142	44192	679	63.95	911	22.45	473	86.08	112	13.87	115	2.66	50	12.79	188.9	193.7	23.0
87	5523	4142	44193	635	20.70	926	64.87	491	87.83	105	4.54	117	11.27	52	13.64	189.4	201.2	23.2
88	5523	4142	44194	687	83.09	941	74.77	490	87.81	114	17.86	119	13.06	52	13.88	189.7	208.7	23.3
89	5523	4142	44195	647	39.24	953	78.33	424	21.89	107	8.48	121	11.99	46	3.06	189.8	215.5	23.5
90	5523	4142	44196	671	65.85	926	66.48	428	23.26	110	12.39	117	9.85	46	4.25	189.8	222.0	23.6
